employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
30153,Sales & Marketing,region_7,Bachelor's,f,other,1,39,3,6,0,0,47
23985,Procurement,region_2,Bachelor's,m,other,2,48,3,4,0,0,70
47486,Analytics,region_16,Bachelor's,m,sourcing,2,33,3,9,0,0,81
8213,Sales & Marketing,region_19,Bachelor's,m,other,1,36,4,5,0,0,42
55927,Operations,region_13,Master's & above,f,sourcing,1,41,4,6,1,0,62
768,Technology,region_24,Master's & above,m,sourcing,3,34,4,9,1,0,79
38423,Technology,region_16,Bachelor's,f,sourcing,1,33,4,4,0,0,78
7435,Analytics,region_2,Bachelor's,m,sourcing,2,20,,1,0,0,83
55186,Analytics,region_15,Bachelor's,m,other,2,28,4,2,0,0,81
58548,Sales & Marketing,region_15,Bachelor's,m,other,1,39,4,3,0,0,51
47301,Procurement,region_1,Bachelor's,m,other,1,27,1,3,0,0,66
55895,Operations,region_2,Bachelor's,m,other,1,41,5,3,1,0,65
40089,Technology,region_2,Master's & above,m,other,1,41,4,5,0,0,79
54099,Analytics,region_22,Bachelor's,m,sourcing,1,25,4,2,0,0,81
44427,Technology,region_16,Bachelor's,m,sourcing,1,31,1,6,0,0,77
2400,Sales & Marketing,region_2,Bachelor's,m,other,1,45,5,8,1,0,54
39751,Sales & Marketing,region_28,,m,sourcing,1,33,5,9,1,0,51
9666,Sales & Marketing,region_2,Master's & above,m,sourcing,2,37,1,7,0,0,46
16615,Analytics,region_13,Bachelor's,m,other,1,30,5,3,1,0,84
10178,Operations,region_4,Master's & above,m,other,1,39,5,9,1,0,63
23639,Operations,region_19,Bachelor's,m,sourcing,1,34,4,5,0,0,61
64602,HR,region_2,Master's & above,f,other,1,47,5,3,0,0,43
42659,Sales & Marketing,region_23,Bachelor's,m,other,4,33,3,4,1,0,56
27088,Procurement,region_2,Master's & above,m,other,3,45,4,4,1,0,66
50797,Procurement,region_23,Master's & above,m,other,1,42,3,12,0,0,72
26472,Technology,region_7,Master's & above,f,other,1,32,3,6,1,0,79
54306,Sales & Marketing,region_29,Bachelor's,f,other,2,29,3,1,0,0,49
56696,Technology,region_13,Bachelor's,f,sourcing,1,25,2,4,0,0,78
23553,Sales & Marketing,region_15,Bachelor's,m,other,2,38,3,10,0,0,47
5945,Procurement,region_28,Master's & above,f,sourcing,1,34,3,9,1,0,68
62896,Sales & Marketing,region_4,Master's & above,f,sourcing,1,43,5,12,1,0,46
39656,Technology,region_23,Bachelor's,m,sourcing,1,33,2,10,0,0,81
13399,Procurement,region_2,Master's & above,f,other,3,55,3,23,0,0,67
51517,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,,1,0,0,55
59543,Sales & Marketing,region_28,Master's & above,m,other,1,32,1,7,0,0,48
66733,Analytics,region_31,Bachelor's,m,sourcing,1,29,5,6,1,0,85
47147,Procurement,region_2,Bachelor's,m,sourcing,2,33,3,7,0,0,70
17886,HR,region_7,Bachelor's,m,other,1,33,5,8,1,0,47
65512,Operations,region_15,Bachelor's,m,other,2,33,3,7,0,0,64
38510,Analytics,region_31,Bachelor's,m,sourcing,1,32,4,2,0,0,88
54646,Operations,region_12,Bachelor's,m,other,1,40,4,11,0,0,61
4337,Procurement,region_30,Bachelor's,f,sourcing,1,38,5,8,1,0,67
2151,Operations,region_22,Bachelor's,m,other,1,26,1,3,0,0,51
48011,Operations,region_23,Bachelor's,f,other,1,35,4,9,0,0,62
30933,Analytics,region_26,Bachelor's,m,other,2,38,5,10,1,0,88
421,Operations,region_15,Bachelor's,f,sourcing,1,31,4,5,0,0,58
64836,Procurement,region_13,Bachelor's,f,other,1,31,3,7,1,0,71
66337,Procurement,region_2,Bachelor's,m,sourcing,1,33,5,5,1,0,66
8194,Procurement,region_2,Bachelor's,f,sourcing,1,54,5,25,1,0,66
30107,Sales & Marketing,region_2,Master's & above,f,sourcing,1,36,3,5,0,0,52
20519,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,48,1,4,0,0,49
29589,Sales & Marketing,region_2,Bachelor's,f,sourcing,3,31,1,3,0,0,50
14709,Sales & Marketing,region_2,Master's & above,m,other,1,42,5,7,1,0,52
36486,HR,region_22,Bachelor's,f,other,1,31,3,7,1,0,50
18352,Technology,region_16,Bachelor's,m,sourcing,1,26,3,3,1,0,79
77016,Procurement,region_2,Bachelor's,f,other,1,40,1,7,0,0,69
52064,Legal,region_2,Bachelor's,m,sourcing,1,34,3,2,0,0,57
51996,Operations,region_22,Bachelor's,m,other,2,31,5,4,0,0,59
45038,Operations,region_28,Bachelor's,f,other,1,29,,1,1,0,59
63538,Technology,region_16,Bachelor's,f,other,1,35,5,9,1,0,73
51410,Procurement,region_11,Bachelor's,m,sourcing,1,27,,1,0,0,68
70094,HR,region_32,Bachelor's,m,other,1,27,3,5,0,0,48
5918,Sales & Marketing,region_3,Master's & above,m,other,1,46,5,5,0,0,52
74129,Analytics,region_22,Master's & above,m,sourcing,1,41,5,5,0,0,84
45859,Technology,region_22,Bachelor's,f,sourcing,1,28,,1,1,0,80
2887,Sales & Marketing,region_7,Bachelor's,f,other,1,25,1,2,0,0,49
60839,Technology,region_23,Master's & above,m,other,1,58,4,4,0,0,78
68767,Operations,region_2,Bachelor's,f,sourcing,1,48,2,23,0,0,57
73499,Procurement,region_21,Bachelor's,m,other,1,30,5,6,1,0,70
77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2,4,1,0,47
30391,Technology,region_5,Master's & above,m,other,1,31,1,2,0,0,83
49699,Sales & Marketing,region_7,Master's & above,m,other,1,43,2,16,0,0,51
49558,Operations,region_15,Bachelor's,f,sourcing,1,42,3,7,0,0,63
57945,Operations,region_2,Bachelor's,m,other,1,31,4,7,0,0,61
46269,Analytics,region_29,Bachelor's,m,other,1,29,,1,1,0,92
61301,Sales & Marketing,region_28,,m,sourcing,1,25,1,2,0,0,51
18779,Technology,region_17,Bachelor's,f,other,1,29,4,8,1,0,77
76722,Sales & Marketing,region_2,Bachelor's,m,other,1,41,5,4,1,1,48
466,Operations,region_22,Bachelor's,f,sourcing,1,23,3,2,0,0,61
11106,Analytics,region_32,Bachelor's,f,other,1,30,3,4,0,0,85
22139,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,29,3,2,1,0,55
24083,Procurement,region_8,Bachelor's,f,sourcing,1,31,3,3,1,0,68
13855,Technology,region_7,Master's & above,f,other,1,52,3,5,0,0,76
14978,Sales & Marketing,region_2,Bachelor's,f,other,1,38,4,7,0,0,48
11220,Operations,region_16,Master's & above,m,other,1,32,3,5,0,0,60
39930,Sales & Marketing,region_14,Bachelor's,m,other,1,36,5,9,1,0,49
49376,Analytics,region_22,Master's & above,m,other,2,36,5,3,0,0,84
75267,Operations,region_4,Bachelor's,m,sourcing,1,28,,1,1,0,59
57749,Sales & Marketing,region_14,Master's & above,m,sourcing,1,37,5,9,0,0,53
13195,Sales & Marketing,region_13,Master's & above,f,sourcing,1,36,3,3,1,0,51
50659,Operations,region_24,Bachelor's,f,other,1,31,5,5,1,1,60
44494,Operations,region_27,Bachelor's,f,other,1,31,5,4,1,0,84
25653,Operations,region_15,Bachelor's,m,other,1,32,3,4,0,0,54
18410,Technology,region_15,Bachelor's,m,other,1,38,5,3,1,0,76
31069,Sales & Marketing,region_5,Bachelor's,m,other,2,34,3,7,0,0,48
44769,Procurement,region_7,Bachelor's,f,other,1,41,4,10,1,0,69
63559,Operations,region_7,Bachelor's,m,sourcing,1,25,,1,0,0,55
72559,Sales & Marketing,region_1,Bachelor's,m,other,2,29,5,5,0,0,66
47465,Sales & Marketing,region_26,Bachelor's,f,sourcing,1,28,3,2,1,0,52
33775,Operations,region_15,Master's & above,f,other,1,39,5,10,1,0,58
52495,Sales & Marketing,region_2,Bachelor's,f,other,1,30,3,6,0,0,48
37871,Sales & Marketing,region_31,Master's & above,m,sourcing,1,32,1,9,0,0,52
48769,Procurement,region_13,Master's & above,f,other,1,30,,1,1,1,71
70061,Procurement,region_8,Master's & above,m,other,1,34,5,7,1,0,68
43385,Procurement,region_27,Bachelor's,f,sourcing,2,33,3,8,0,0,65
14664,Operations,region_6,Bachelor's,m,sourcing,1,30,5,2,1,0,59
14856,R&D,region_22,Master's & above,m,sourcing,1,32,3,1,1,0,80
20248,Technology,region_19,Bachelor's,m,sourcing,1,46,1,3,0,0,81
39361,Sales & Marketing,region_13,Bachelor's,m,other,1,34,5,7,0,0,49
45169,Operations,region_13,Bachelor's,f,other,1,30,1,8,0,0,62
34801,Sales & Marketing,region_22,,m,sourcing,1,25,4,3,0,0,52
26626,Sales & Marketing,region_13,Bachelor's,m,other,1,42,3,6,1,0,48
39486,Procurement,region_2,Bachelor's,f,sourcing,1,37,1,2,0,0,64
62534,Analytics,region_22,Master's & above,m,sourcing,1,34,4,3,0,0,85
1720,Operations,region_19,Bachelor's,f,sourcing,1,31,4,3,0,0,59
41423,Technology,region_2,,m,sourcing,1,33,,1,1,0,76
5323,Sales & Marketing,region_15,,m,other,1,45,1,5,0,0,48
24849,Operations,region_22,Bachelor's,m,other,1,30,,1,0,0,63
9826,Sales & Marketing,region_13,Bachelor's,m,other,1,39,2,4,1,0,50
68134,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,1,0,48
20768,Operations,region_3,Master's & above,m,sourcing,1,31,4,6,1,0,59
40998,Operations,region_29,Bachelor's,m,other,1,45,3,6,0,0,59
21494,Sales & Marketing,region_2,Bachelor's,m,other,3,24,,1,0,0,48
43089,Operations,region_7,Master's & above,m,other,1,40,4,7,0,0,61
58167,Operations,region_22,Master's & above,f,other,1,31,5,7,1,0,57
31500,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,25,1,2,0,0,51
5516,Operations,region_20,Master's & above,m,other,1,36,4,8,1,0,59
5148,Procurement,region_5,Bachelor's,f,sourcing,1,34,3,7,1,0,70
58977,Technology,region_2,Bachelor's,f,other,1,45,2,14,0,0,82
46734,Analytics,region_15,Bachelor's,f,sourcing,1,28,3,5,0,0,84
71542,Technology,region_26,Bachelor's,f,sourcing,1,34,4,6,1,0,82
38232,Operations,region_13,Bachelor's,m,sourcing,1,31,3,4,1,0,61
1112,Operations,region_15,Master's & above,f,other,1,49,3,6,0,0,59
38,Analytics,region_32,Bachelor's,m,other,1,26,5,2,0,0,86
38277,Sales & Marketing,region_2,Master's & above,f,sourcing,1,35,3,9,1,0,54
63711,Operations,region_13,Bachelor's,f,sourcing,1,31,4,3,1,0,59
53908,Sales & Marketing,region_2,Master's & above,m,sourcing,1,43,1,15,0,0,47
16230,Procurement,region_2,Master's & above,m,other,1,46,3,7,1,1,72
55303,Technology,region_11,Bachelor's,f,other,3,26,,1,1,0,82
5987,Operations,region_22,Master's & above,m,sourcing,2,38,2,10,0,0,55
39318,HR,region_7,Bachelor's,f,other,1,36,3,6,1,0,49
51409,Procurement,region_5,Bachelor's,m,other,1,25,2,3,0,0,72
10008,Sales & Marketing,region_19,Bachelor's,m,other,1,28,4,2,0,0,45
22082,Analytics,region_29,Bachelor's,m,other,1,29,3,8,1,0,84
20116,Procurement,region_2,Bachelor's,m,other,4,36,1,3,0,0,75
55206,Analytics,region_4,Bachelor's,m,other,1,39,5,6,0,0,84
61173,Analytics,region_32,Bachelor's,m,sourcing,1,39,5,6,1,0,85
10120,Procurement,region_2,Master's & above,m,sourcing,1,38,2,8,0,0,71
22325,Operations,region_2,Bachelor's,m,sourcing,1,28,3,3,0,0,63
42468,Technology,region_15,Bachelor's,m,other,1,37,3,5,0,0,80
6389,Technology,region_26,Bachelor's,m,sourcing,2,38,3,7,0,0,81
11067,Finance,region_2,Bachelor's,m,other,1,32,5,6,0,0,57
44426,Procurement,region_16,Bachelor's,f,sourcing,1,24,1,2,0,0,67
2002,Operations,region_24,Bachelor's,f,other,1,31,3,7,0,0,57
55961,HR,region_25,Bachelor's,m,other,1,29,5,2,1,0,47
11743,Sales & Marketing,region_27,Master's & above,f,other,1,36,2,2,0,0,49
67972,Sales & Marketing,region_28,Bachelor's,f,other,1,32,4,8,0,0,48
9033,Legal,region_2,Bachelor's,m,sourcing,1,30,,1,1,0,57
51432,Finance,region_2,Bachelor's,m,other,1,38,3,12,0,0,63
39773,Procurement,region_29,Bachelor's,m,sourcing,1,32,3,4,0,0,64
6369,Sales & Marketing,region_2,Master's & above,m,other,2,29,,1,0,0,50
17895,Technology,region_28,Master's & above,m,other,1,34,3,4,0,0,81
