employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
57489,Sales & Marketing,region_14,Bachelor's,m,other,1,25,4.0,3,0,0,47,0
10745,Operations,region_19,Master's & above,f,other,1,39,5.0,7,1,0,60,0
36031,Analytics,region_22,Bachelor's,f,other,1,30,3.0,2,1,0,84,0
19273,Finance,region_2,Bachelor's,m,other,2,39,5.0,8,0,0,60,0
41999,Procurement,region_22,Bachelor's,f,other,1,32,3.0,7,1,0,69,0
75230,Technology,region_8,Bachelor's,m,sourcing,2,29,4.0,6,0,0,78,0
1282,Technology,region_22,Master's & above,m,other,1,32,4.0,6,0,0,81,0
9660,Sales & Marketing,region_15,Bachelor's,f,sourcing,1,35,3.0,8,0,0,46,0
39864,Sales & Marketing,region_22,Bachelor's,f,other,1,29,3.0,4,0,0,51,0
77970,Operations,region_22,Master's & above,m,other,1,40,1.0,2,1,0,56,0
18996,Sales & Marketing,region_27,,m,sourcing,2,30,1.0,3,1,0,54,0
34587,Sales & Marketing,region_20,Bachelor's,m,other,1,31,2.0,6,1,0,50,0
24848,Technology,region_27,Bachelor's,f,sourcing,2,26,3.0,3,0,0,77,0
71247,Technology,region_13,Bachelor's,f,referred,1,33,3.0,6,0,0,81,0
20496,Sales & Marketing,region_31,Master's & above,m,other,1,31,1.0,3,0,0,49,0
21566,Sales & Marketing,region_21,,m,other,1,31,1.0,6,0,0,50,0
7794,Procurement,region_2,Bachelor's,m,other,2,28,3.0,4,0,0,69,0
59378,Procurement,region_23,Bachelor's,f,sourcing,1,31,5.0,6,1,0,67,0
57324,Finance,region_13,Bachelor's,f,other,1,29,5.0,3,1,0,60,0
41516,HR,region_2,Master's & above,f,other,1,55,5.0,24,0,0,50,0
58098,Procurement,region_13,Master's & above,m,sourcing,2,33,5.0,3,1,0,69,0
20591,Technology,region_7,Master's & above,m,other,1,39,5.0,5,1,0,78,0
71373,Sales & Marketing,region_22,Master's & above,f,other,1,34,4.0,10,0,0,47,0
56705,Sales & Marketing,region_2,Bachelor's,m,other,1,40,5.0,11,0,0,47,0
26805,Operations,region_32,Bachelor's,m,other,1,36,4.0,3,1,0,74,1
18390,Procurement,region_27,Master's & above,f,other,1,35,3.0,5,0,0,68,0
44748,Sales & Marketing,region_25,Bachelor's,m,other,1,33,5.0,7,1,0,47,0
7244,Sales & Marketing,region_32,,m,sourcing,1,28,2.0,9,0,0,51,0
14385,Operations,region_15,Bachelor's,f,referred,1,32,5.0,4,1,0,67,0
49055,Operations,region_8,Bachelor's,f,sourcing,1,27,4.0,4,0,0,60,0
64037,Technology,region_26,Bachelor's,m,other,1,31,3.0,4,0,0,77,0
55840,Analytics,region_11,Bachelor's,m,sourcing,2,45,5.0,7,1,0,83,0
42736,Procurement,region_2,Bachelor's,m,other,2,35,3.0,7,1,0,68,0
44324,Procurement,region_2,Master's & above,f,other,1,46,5.0,5,1,0,68,1
64421,Sales & Marketing,region_15,Master's & above,m,other,1,42,4.0,14,0,0,49,0
54594,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,43,4.0,13,0,0,45,0
22217,Technology,region_4,Master's & above,f,sourcing,1,34,2.0,10,0,0,85,0
11211,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,32,2.0,4,0,0,46,0
19156,Technology,region_28,Master's & above,f,other,1,32,1.0,4,0,0,80,0
44081,Procurement,region_13,Bachelor's,f,other,1,30,3.0,4,1,0,67,0
40522,Technology,region_7,Bachelor's,m,sourcing,1,39,3.0,11,0,0,79,0
3420,Operations,region_15,Bachelor's,f,sourcing,1,39,3.0,4,0,0,60,0
33490,Operations,region_19,Master's & above,f,other,1,34,5.0,3,0,0,59,0
22893,Technology,region_10,Master's & above,f,other,1,36,2.0,6,0,0,79,0
10634,Sales & Marketing,region_6,Bachelor's,m,sourcing,1,48,3.0,3,0,0,47,0
36864,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,48,5.0,12,1,0,51,0
41352,Sales & Marketing,region_16,Master's & above,m,sourcing,2,31,1.0,6,0,0,52,0
57055,R&D,region_22,Bachelor's,m,other,2,31,3.0,4,0,0,89,0
9743,Operations,region_27,Bachelor's,f,sourcing,2,34,2.0,8,0,0,63,0
2969,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,37,3.0,4,0,0,53,0
57177,Operations,region_12,Bachelor's,f,other,2,33,3.0,9,0,0,63,0
13034,HR,region_20,Master's & above,m,other,1,36,3.0,4,1,0,54,0
28682,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,27,,1,0,0,48,0
43208,Operations,region_4,Master's & above,m,other,1,40,5.0,11,0,0,60,0
62833,Legal,region_29,Bachelor's,m,other,1,29,5.0,4,0,0,58,0
41125,Sales & Marketing,region_29,Master's & above,m,sourcing,3,36,2.0,8,0,0,52,0
56006,Procurement,region_2,Master's & above,m,sourcing,7,48,4.0,17,1,0,67,0
36313,Operations,region_29,Bachelor's,f,other,1,28,4.0,3,0,0,62,0
69453,Operations,region_25,Master's & above,m,sourcing,1,32,3.0,10,0,0,57,0
16843,Sales & Marketing,region_31,Bachelor's,m,sourcing,3,27,,1,1,0,51,0
77935,Analytics,region_2,Bachelor's,f,other,1,28,5.0,2,1,0,82,0
65748,Operations,region_7,Master's & above,f,sourcing,1,36,5.0,5,1,0,61,1
14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,1,0,90,1
62482,Operations,region_7,Master's & above,f,other,1,41,5.0,9,0,0,62,0
48988,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,34,4.0,7,1,0,47,0
64169,Sales & Marketing,region_2,Master's & above,m,other,1,53,5.0,15,0,0,51,0
51887,Sales & Marketing,region_15,Master's & above,m,other,1,29,3.0,3,1,0,54,0
15523,HR,region_22,Master's & above,m,sourcing,1,38,1.0,7,0,0,46,0
68943,Legal,region_26,Bachelor's,m,sourcing,1,32,3.0,2,0,0,57,0
19628,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,34,3.0,5,1,0,49,0
48697,Sales & Marketing,region_13,Master's & above,m,sourcing,1,30,4.0,2,1,0,65,1
73182,Operations,region_2,Bachelor's,f,other,1,41,4.0,6,0,0,62,0
27236,Sales & Marketing,region_7,Master's & above,m,other,6,34,4.0,8,0,0,47,0
55468,HR,region_2,,m,other,1,29,2.0,3,0,0,50,0
23666,Technology,region_2,Bachelor's,m,referred,1,26,,1,1,0,78,0
65843,Finance,region_29,Master's & above,m,sourcing,2,35,1.0,7,0,0,66,0
23451,Sales & Marketing,region_2,Bachelor's,m,referred,1,45,5.0,15,0,0,49,0
68148,Sales & Marketing,region_15,Bachelor's,m,other,3,33,3.0,8,0,0,49,0
69723,Procurement,region_7,Bachelor's,f,other,1,30,4.0,4,1,0,72,0
27841,Sales & Marketing,region_26,Bachelor's,m,other,1,26,,1,0,0,53,0
6336,Sales & Marketing,region_13,,m,other,1,24,3.0,3,0,0,54,0
53628,Technology,region_31,Bachelor's,m,sourcing,1,32,5.0,5,1,0,84,0
26712,Analytics,region_15,Bachelor's,m,other,1,29,3.0,6,0,0,82,0
30676,Operations,region_15,Bachelor's,m,other,1,42,5.0,3,0,0,63,0
69634,Procurement,region_27,Bachelor's,f,other,1,24,,1,0,0,74,0
26726,Sales & Marketing,region_2,Master's & above,f,other,1,52,1.0,10,0,0,47,0
9980,Analytics,region_20,Bachelor's,m,other,1,29,5.0,5,1,0,81,0
29043,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,36,5.0,7,1,0,49,0
34339,Finance,region_22,Bachelor's,f,other,1,25,5.0,2,1,1,90,1
7636,Operations,region_15,Bachelor's,m,other,1,37,3.0,9,1,0,55,1
53963,Operations,region_15,Master's & above,m,referred,2,34,5.0,7,0,0,61,0
66682,Operations,region_22,Below Secondary,m,sourcing,1,24,4.0,2,0,0,56,0
30245,Sales & Marketing,region_25,Bachelor's,m,sourcing,1,28,,1,0,0,53,0
47686,Analytics,region_31,Bachelor's,f,other,1,27,1.0,3,0,1,88,0
19136,Operations,region_19,Master's & above,f,sourcing,1,38,1.0,4,0,0,59,0
65435,HR,region_2,Master's & above,f,other,1,60,5.0,15,1,0,51,0
31375,Technology,region_28,Master's & above,m,other,1,33,2.0,4,1,0,91,1
30906,Operations,region_23,Master's & above,f,sourcing,2,37,3.0,7,1,0,63,1
660,Technology,region_16,Bachelor's,f,sourcing,1,30,5.0,2,0,0,81,0
46055,Sales & Marketing,region_4,Master's & above,f,other,1,34,4.0,8,1,0,47,1
40034,Finance,region_27,Bachelor's,f,sourcing,2,29,2.0,4,0,0,61,0
40866,Technology,region_8,Bachelor's,m,other,2,31,2.0,4,0,0,83,0
66954,Finance,region_2,Bachelor's,m,sourcing,1,60,1.0,18,0,0,59,0
42350,Procurement,region_29,Bachelor's,f,other,1,28,4.0,4,1,0,68,0
61660,Procurement,region_7,Bachelor's,f,other,1,33,1.0,7,1,0,69,0
75295,Operations,region_8,,m,other,1,27,5.0,4,1,0,63,0
77466,Procurement,region_17,Master's & above,f,other,1,43,5.0,13,0,0,71,0
15812,Sales & Marketing,region_5,Master's & above,m,other,1,32,3.0,9,0,0,51,0
15496,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,34,3.0,6,0,0,50,0
44752,Sales & Marketing,region_26,Bachelor's,m,other,1,35,3.0,8,1,0,48,0
20126,Technology,region_9,Bachelor's,m,other,1,28,5.0,2,0,0,86,1
67767,Operations,region_26,Bachelor's,f,other,1,27,5.0,2,1,0,56,0
13166,Procurement,region_2,Master's & above,m,other,4,50,3.0,7,0,0,63,0
